city,location
Barnāla,"30.37,75.54"
Chittaurgarh,"24.88,74.63"
Narasaraopet,"16.236,80.0498"
Kovilpatti,"9.1744,77.8688"
Bijnor,"29.37,78.13"
Dam Dam,"22.62,88.42"
Kaikkudi,"9.893,78.7313"
Balāngīr,"20.72,83.48"
Shegaon,"20.7944,76.6944"
Mahāsamund,"21.11,82.1"
Rājpura,"30.484,76.594"
Bāgalkot,"16.1817,75.6958"
Osmānābād,"18.3194,76.0736"
Kaliānpur,"26.5191,80.2498"
Shujālpur,"23.4,76.72"
Sāhibganj,"25.25,87.65"
Champdani,"22.802,88.346"
Nandurbar,"21.37,74.25"
Purwa Utar,"26.068,83.184"
Muktsar,"30.4743,74.5166"
Ferozepore,"30.9166,74.6"
Mancherāl,"18.8714,79.4443"
Sehore,"23.2,77.08"
Bangaon,"23.07,88.82"
Khopoli,"18.789,73.343"
Islāmābād,"33.7353,75.1478"
Khardah,"22.72,88.38"
Mungeli,"22.07,81.68"
Tādpatri,"14.92,78.02"
Gharbara,"28.47,77.51"
Sultānpur,"26.2583,82.0722"
Shikohābād,"27.1,78.6"
Jalpāiguri,"26.52,88.73"
Shāmli,"29.45,77.32"
Bhilai Karanja,"21.2198,81.4575"
Suriāpet,"17.1415,79.6236"
Wardha,"20.7417,78.6056"
Rānībennur,"14.6167,75.6167"
Barnoi,"32.43,75.43"
Sītāmarhi,"26.6,85.48"
Kishanganj,"26.0794,87.9372"
Hindaun,"26.74,77.03"
Semāri,"24.0555,73.8566"
Gangāwati,"15.43,76.53"
Nautanwa,"27.43,83.42"
Jamālpur,"25.3,86.5"
Makrāna,"27.0409,74.7273"
Sheopur,"25.67,76.7"
Ballia,"25.7604,84.1471"
Tādepallegūdem,"16.815,81.526"
Bānsbāria,"22.97,88.4"
Būndi,"25.44,75.64"
Amarāvati,"16.5131,80.5165"
Negapatam,"10.7672,79.8449"
Buxar,"25.5605,83.9805"
Kurichchi,"10.9609,76.9738"
Kheda,"22.75,72.68"
Tezpur,"26.63,92.8"
Sundarnagar,"31.53,76.88"
Seoni,"22.08,79.53"
Aurangābād,"24.7,84.35"
Rishīkesh,"30.1083,78.2972"
Kapūrthala,"31.38,75.38"
Dhamtari,"20.71,81.55"
Rāneswar,"24.0311,87.4197"
Brājarājnagar,"21.8167,83.9167"
Sūjāngarh,"27.7,74.47"
Bhadreswar,"22.82,88.35"
Chilakalūrupet,"16.0892,80.1672"
Jeypore,"18.8563,82.5716"
Kāranja,"20.4833,77.4833"
Chanwari,"23.1917,82.3542"
Port Blair,"11.6683,92.7378"
Kalyani,"22.975,88.4344"
Datia,"25.67,78.47"
Madhavaram,"13.1482,80.2314"
Gangtok,"27.33,88.62"
